epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8236,1.14888,1.97881,1.25713,0.45369,0.46985,0.45573,0.29129,1.31211,2.46865,1.49268,0.000299393,0.000299393,0.000299393
2,63.4788,1.28371,1.7228,1.33731,0.43257,0.37215,0.35159,0.22666,1.3412,2.09192,1.53588,0.000596429,0.000596429,0.000596429
3,90.2311,1.36084,1.76171,1.39607,0.42695,0.39824,0.37092,0.24096,1.45549,2.55675,1.59708,0.000887466,0.000887466,0.000887466
4,115.738,1.35261,1.7087,1.40102,0.47382,0.32019,0.35206,0.22206,1.61657,2.9778,1.79484,0.000882003,0.000882003,0.000882003
5,141.405,1.32984,1.63661,1.35641,0.47024,0.43674,0.38809,0.24574,1.31707,2.37764,1.44935,0.000873004,0.000873004,0.000873004
6,166.915,1.28459,1.52486,1.35722,0.62964,0.49996,0.50802,0.33128,1.22933,1.93046,1.35996,0.000864004,0.000864004,0.000864004
7,201.708,1.26343,1.50737,1.33377,0.41162,0.55695,0.51675,0.32858,1.27791,1.71093,1.3661,0.000855005,0.000855005,0.000855005
8,265.496,1.21297,1.40352,1.31096,0.65043,0.53075,0.59474,0.40604,1.23119,1.6107,1.38342,0.000846006,0.000846006,0.000846006
9,328.978,1.24229,1.44853,1.33647,0.63763,0.55976,0.58155,0.36715,1.18712,1.58195,1.35193,0.000837007,0.000837007,0.000837007
10,392.533,1.20776,1.37741,1.31662,0.65859,0.51211,0.59068,0.38902,1.15824,1.42026,1.30713,0.000828008,0.000828008,0.000828008
11,455.484,1.174,1.33743,1.29164,0.59519,0.65607,0.65953,0.44327,1.15085,1.3038,1.3025,0.000819009,0.000819009,0.000819009
12,518.73,1.16868,1.29658,1.29101,0.6762,0.53519,0.61521,0.39609,1.20923,1.49346,1.39936,0.00081001,0.00081001,0.00081001
13,576.266,1.14185,1.28431,1.2748,0.66168,0.51724,0.56954,0.39134,1.16338,1.44487,1.32129,0.000801011,0.000801011,0.000801011
14,628.762,1.13826,1.25461,1.25347,0.7424,0.5628,0.62854,0.43208,1.18168,1.38509,1.29171,0.000792012,0.000792012,0.000792012
15,687.753,1.10572,1.18775,1.24525,0.72552,0.60739,0.66728,0.45662,1.12166,1.3967,1.28213,0.000783013,0.000783013,0.000783013
16,749.049,1.10012,1.16004,1.24369,0.68402,0.6676,0.69547,0.49014,1.07437,1.15026,1.25364,0.000774013,0.000774013,0.000774013
17,797.073,1.08338,1.10079,1.22047,0.61628,0.63538,0.63769,0.44526,1.04726,1.3181,1.18817,0.000765014,0.000765014,0.000765014
18,851.212,1.06876,1.10549,1.22632,0.77932,0.64921,0.71993,0.48959,1.08877,1.22589,1.2441,0.000756015,0.000756015,0.000756015
19,904.402,1.05944,1.08022,1.21269,0.69389,0.62535,0.67081,0.47528,1.08954,1.12851,1.26127,0.000747016,0.000747016,0.000747016
20,956.659,1.08578,1.11357,1.23719,0.72107,0.58991,0.67669,0.47872,1.08189,1.20695,1.25627,0.000738017,0.000738017,0.000738017
21,1008.75,1.03272,1.06249,1.19941,0.75358,0.65025,0.71415,0.49927,1.07363,1.23063,1.23111,0.000729018,0.000729018,0.000729018
22,1061.98,1.04947,1.05559,1.21041,0.74629,0.6775,0.71633,0.50897,0.99129,1.13656,1.17863,0.000720019,0.000720019,0.000720019
23,1113.81,1.02675,1.00156,1.19016,0.75358,0.65452,0.7213,0.50234,1.06851,1.08158,1.20915,0.00071102,0.00071102,0.00071102
24,1192.04,0.9865,0.9734,1.16732,0.75571,0.67355,0.73766,0.52525,1.00796,1.09283,1.2177,0.000702021,0.000702021,0.000702021
25,1221.99,1.01518,0.96759,1.1791,0.78658,0.69314,0.75965,0.54754,1.0042,1.08578,1.17557,0.000693022,0.000693022,0.000693022
26,1250.31,0.98781,0.98748,1.16739,0.81382,0.64863,0.73872,0.5393,0.99835,1.01143,1.16773,0.000684022,0.000684022,0.000684022
27,1288.17,0.96052,0.92537,1.14839,0.76982,0.69745,0.76217,0.56126,0.93984,0.99354,1.12231,0.000675023,0.000675023,0.000675023
28,1347.44,0.95074,0.91819,1.15357,0.72187,0.69454,0.72737,0.51146,0.99788,1.03797,1.16462,0.000666024,0.000666024,0.000666024
29,24987.7,0.95643,0.9156,1.15796,0.79838,0.66681,0.75866,0.55496,0.98888,0.93415,1.15847,0.000657025,0.000657025,0.000657025
30,37700.5,0.94978,0.90163,1.13556,0.76399,0.69752,0.75262,0.54528,0.97337,0.96501,1.14401,0.000648026,0.000648026,0.000648026
31,37746,0.94636,0.89864,1.14807,0.74365,0.69863,0.75677,0.55472,0.9534,0.95252,1.14541,0.000639027,0.000639027,0.000639027
32,37821.2,0.93946,0.88977,1.13934,0.76649,0.66978,0.74022,0.54277,0.98184,1.01111,1.17494,0.000630028,0.000630028,0.000630028
33,37885.8,0.94551,0.87666,1.14213,0.7881,0.67089,0.74996,0.54712,0.9436,0.97936,1.12837,0.000621029,0.000621029,0.000621029
34,37949.1,0.94576,0.87487,1.1301,0.85233,0.66159,0.76249,0.55224,0.9817,0.99458,1.1519,0.00061203,0.00061203,0.00061203
35,38019.8,0.91992,0.84332,1.12212,0.78637,0.71822,0.76038,0.56061,0.95316,0.88525,1.14371,0.000603031,0.000603031,0.000603031
36,38119.6,0.90461,0.82455,1.1278,0.82015,0.65189,0.73866,0.54957,0.95108,0.94023,1.13931,0.000594031,0.000594031,0.000594031
37,38192.9,0.90373,0.81801,1.12139,0.80244,0.69149,0.75172,0.55831,0.94532,0.88294,1.13638,0.000585032,0.000585032,0.000585032
38,38259.7,0.90341,0.80571,1.11457,0.81217,0.68538,0.7684,0.56601,0.92221,0.87301,1.12105,0.000576033,0.000576033,0.000576033
39,38321.6,0.89022,0.79928,1.11207,0.81627,0.68784,0.77172,0.58509,0.91766,0.8879,1.11345,0.000567034,0.000567034,0.000567034
40,38378.1,0.89737,0.81323,1.12097,0.78331,0.67099,0.74955,0.55946,0.90263,0.89756,1.12264,0.000558035,0.000558035,0.000558035
41,38424.7,0.87031,0.77104,1.09654,0.80011,0.71494,0.78503,0.58067,0.96135,0.93438,1.128,0.000549036,0.000549036,0.000549036
42,38510.1,0.88034,0.76682,1.09072,0.79458,0.74244,0.78515,0.59029,0.92441,0.88182,1.12926,0.000540037,0.000540037,0.000540037
43,38585,0.87966,0.79326,1.10749,0.84843,0.71261,0.79476,0.59378,0.88351,0.82383,1.09191,0.000531038,0.000531038,0.000531038
44,38688,0.84938,0.74264,1.08658,0.89144,0.71711,0.8046,0.58937,0.91444,0.81896,1.09163,0.000522039,0.000522039,0.000522039
45,38750.3,0.85987,0.75103,1.09637,0.82473,0.73158,0.79052,0.59948,0.88182,0.84017,1.09546,0.00051304,0.00051304,0.00051304
46,38806.5,0.84282,0.75313,1.08489,0.82664,0.71177,0.7882,0.59337,0.89138,0.9057,1.12881,0.00050404,0.00050404,0.00050404
47,38865.1,0.84699,0.73789,1.08053,0.84284,0.73097,0.7927,0.59682,0.91563,0.88326,1.12287,0.000495041,0.000495041,0.000495041
48,38921.2,0.82272,0.69751,1.06523,0.83262,0.7078,0.78344,0.59974,0.89404,0.82226,1.08554,0.000486042,0.000486042,0.000486042
49,38974,0.85395,0.74587,1.08532,0.82874,0.74755,0.80378,0.60519,0.8793,0.80634,1.07101,0.000477043,0.000477043,0.000477043
50,39031.6,0.82047,0.71447,1.06319,0.83339,0.70954,0.79319,0.5981,0.92345,0.85097,1.10986,0.000468044,0.000468044,0.000468044
51,39091.7,0.83592,0.71995,1.06704,0.85727,0.70573,0.7928,0.5974,0.85948,0.80191,1.07084,0.000459045,0.000459045,0.000459045
52,39151,0.82818,0.69933,1.07344,0.85002,0.72188,0.79595,0.58511,0.86814,0.83665,1.09078,0.000450046,0.000450046,0.000450046
53,39210.9,0.80309,0.65777,1.05929,0.88506,0.71678,0.80783,0.61477,0.88209,0.87265,1.07364,0.000441047,0.000441047,0.000441047
54,39270.9,0.7908,0.66149,1.05356,0.85355,0.7098,0.78677,0.60473,0.88058,0.85301,1.09099,0.000432048,0.000432048,0.000432048
55,39330.1,0.80699,0.67902,1.06717,0.85656,0.7166,0.80503,0.60642,0.88575,0.80524,1.0898,0.000423049,0.000423049,0.000423049
56,39388.8,0.7988,0.65167,1.04991,0.8874,0.70323,0.81031,0.60138,0.9218,0.87505,1.12908,0.000414049,0.000414049,0.000414049
57,39457.1,0.79544,0.65455,1.04462,0.83045,0.73688,0.79798,0.6063,0.86489,0.80502,1.07111,0.00040505,0.00040505,0.00040505
58,39522.7,0.77411,0.62435,1.04466,0.87473,0.71247,0.80852,0.60903,0.85313,0.80471,1.0559,0.000396051,0.000396051,0.000396051
59,39580,0.78039,0.62605,1.03451,0.85664,0.73185,0.81237,0.61186,0.87522,0.80374,1.07558,0.000387052,0.000387052,0.000387052
60,39638.8,0.78247,0.62632,1.03403,0.84245,0.7283,0.80244,0.61303,0.83312,0.81727,1.05351,0.000378053,0.000378053,0.000378053
61,39697.4,0.75564,0.60519,1.03046,0.89163,0.71093,0.79979,0.61085,0.85438,0.86379,1.09851,0.000369054,0.000369054,0.000369054
62,39749.5,0.76472,0.61593,1.04129,0.87108,0.73961,0.81078,0.62054,0.8397,0.79151,1.07086,0.000360055,0.000360055,0.000360055
63,39775.3,0.76076,0.6288,1.04062,0.88347,0.74809,0.82314,0.62418,0.86173,0.79475,1.07748,0.000351056,0.000351056,0.000351056
