epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1031.17,0.87312,0.76716,1.09253,0.80251,0.69459,0.77722,0.56616,0.91919,0.88,1.11274,0.000540037,0.000540037,0.000540037
43,1055.32,0.86927,0.77804,1.10101,0.84228,0.69039,0.78394,0.59329,0.87893,0.85849,1.0768,0.000531038,0.000531038,0.000531038
44,1079.79,0.83863,0.73327,1.08401,0.75601,0.74787,0.7741,0.56986,0.93854,0.87769,1.10974,0.000522039,0.000522039,0.000522039
45,1103.91,0.83913,0.73986,1.0808,0.7799,0.73353,0.77658,0.57758,0.89805,0.83111,1.10551,0.00051304,0.00051304,0.00051304
46,1128.22,0.8397,0.74697,1.08416,0.78944,0.73201,0.77774,0.58075,0.8912,0.83222,1.09122,0.00050404,0.00050404,0.00050404
47,1152.33,0.84549,0.72916,1.08051,0.79884,0.70475,0.77747,0.57798,0.88915,0.84217,1.07042,0.000495041,0.000495041,0.000495041
48,1176.58,0.81203,0.69696,1.058,0.84513,0.71786,0.79124,0.58396,0.87246,0.80773,1.08546,0.000486042,0.000486042,0.000486042
49,1200.75,0.84165,0.72865,1.07472,0.82368,0.73913,0.80711,0.60289,0.88544,0.76723,1.11023,0.000477043,0.000477043,0.000477043
50,1225.09,0.80547,0.69053,1.05416,0.82064,0.71266,0.79032,0.60039,0.86945,0.78868,1.05603,0.000468044,0.000468044,0.000468044
51,1249.22,0.82695,0.70199,1.06363,0.81734,0.69148,0.77817,0.58146,0.88802,0.85513,1.08484,0.000459045,0.000459045,0.000459045
52,1273.36,0.81559,0.69744,1.06428,0.80037,0.72371,0.7789,0.589,0.89485,0.83292,1.08837,0.000450046,0.000450046,0.000450046
53,1297.47,0.80455,0.65717,1.05692,0.82167,0.71482,0.78892,0.59981,0.86523,0.80984,1.06631,0.000441047,0.000441047,0.000441047
54,1321.71,0.79627,0.66748,1.05611,0.8242,0.72758,0.79998,0.59327,0.8983,0.81843,1.10245,0.000432048,0.000432048,0.000432048
55,1345.82,0.79867,0.6867,1.06011,0.8403,0.71487,0.80359,0.60688,0.84607,0.80976,1.04031,0.000423049,0.000423049,0.000423049
56,1370.16,0.78495,0.65711,1.04161,0.83986,0.71757,0.81049,0.61894,0.84635,0.82011,1.06538,0.000414049,0.000414049,0.000414049
57,1394.73,0.78071,0.64201,1.03982,0.80055,0.73351,0.80293,0.6141,0.85964,0.80579,1.06844,0.00040505,0.00040505,0.00040505
58,1418.89,0.76001,0.62483,1.04473,0.86367,0.7309,0.81083,0.61488,0.85751,0.83333,1.05989,0.000396051,0.000396051,0.000396051
59,1443.06,0.76341,0.61692,1.03142,0.85791,0.70723,0.80234,0.60956,0.87048,0.82144,1.09429,0.000387052,0.000387052,0.000387052
60,1467.22,0.76703,0.62014,1.02924,0.83933,0.74913,0.81222,0.62113,0.81868,0.77723,1.04659,0.000378053,0.000378053,0.000378053
