epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.22,1.25835,3.39064,1.22309,0.02042,0.65384,0.16858,0.12284,1.05717,3.64735,1.08122,0.000295786,0.000295786,0.000295786
2,483.886,1.22132,2.47865,1.25295,0.65365,0.11132,0.29589,0.20131,1.14364,3.09564,1.17278,0.000592858,0.000592858,0.000592858
3,590.979,1.27064,2.08217,1.265,0.4116,0.41338,0.34537,0.21298,1.33826,2.41054,1.32482,0.00088393,0.00088393,0.00088393
4,726.075,1.25141,1.93885,1.2572,0.4714,0.41238,0.42157,0.27998,1.28974,2.10665,1.32026,0.000882003,0.000882003,0.000882003
5,1392.5,1.23061,1.84727,1.24915,0.42664,0.45356,0.45043,0.29507,1.20013,2.07563,1.21186,0.000873004,0.000873004,0.000873004
6,1506.54,1.18631,1.70647,1.21073,0.61114,0.46458,0.50012,0.34079,1.15634,1.77008,1.20258,0.000864004,0.000864004,0.000864004
7,1706.25,1.17107,1.62303,1.2144,0.66049,0.51508,0.57443,0.39738,1.09678,1.58982,1.15186,0.000855005,0.000855005,0.000855005
8,2176.89,1.16215,1.58157,1.19738,0.65531,0.5072,0.56912,0.40738,1.0844,1.61574,1.14943,0.000846006,0.000846006,0.000846006
9,2295.93,1.14651,1.5125,1.1759,0.70095,0.45505,0.56099,0.38841,1.1416,1.67408,1.19422,0.000837007,0.000837007,0.000837007
10,2445.77,1.10912,1.46579,1.17608,0.63011,0.47569,0.53918,0.38726,1.10622,1.67314,1.17403,0.000828008,0.000828008,0.000828008
11,2564.43,1.11919,1.42054,1.17266,0.68044,0.47803,0.53694,0.37936,1.1008,1.69493,1.18528,0.000819009,0.000819009,0.000819009
