epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3413.51,1.02479,0.75735,0.0068,0.80903,0.71508,0.80317,0.60007,1.0381,0.96449,0.00929,0.000540037,0.000540037,0.000540037
43,3486.57,1.01608,0.76327,0.00692,0.81006,0.73116,0.80419,0.60397,0.95002,0.96373,0.0081,0.000531038,0.000531038,0.000531038
44,3567.61,0.97699,0.6994,0.0068,0.86619,0.70977,0.80955,0.60856,0.97637,0.94565,0.00831,0.000522039,0.000522039,0.000522039
45,3643.93,0.98726,0.72544,0.00676,0.78641,0.70007,0.77576,0.58937,0.96056,0.99922,0.00825,0.00051304,0.00051304,0.00051304
46,3697,0.97546,0.69475,0.00663,0.8003,0.74993,0.80874,0.61058,0.98142,0.98213,0.00888,0.00050404,0.00050404,0.00050404
47,3726.66,0.99163,0.71455,0.0066,0.81102,0.71617,0.79532,0.60243,0.97347,0.95108,0.00823,0.000495041,0.000495041,0.000495041
48,3763.97,0.94995,0.68023,0.00611,0.80382,0.74044,0.79982,0.59238,1.01785,1.02698,0.00924,0.000486042,0.000486042,0.000486042
49,3799.77,0.97097,0.70338,0.00643,0.83266,0.73827,0.81649,0.62559,0.99438,0.91222,0.00885,0.000477043,0.000477043,0.000477043
50,3861.17,0.95686,0.67982,0.00639,0.81734,0.72365,0.80753,0.61385,0.98686,0.97901,0.0084,0.000468044,0.000468044,0.000468044
51,3935.25,0.96299,0.69638,0.00624,0.81243,0.75044,0.81848,0.62819,0.95137,0.94538,0.008,0.000459045,0.000459045,0.000459045
52,4006.65,0.93592,0.67924,0.00623,0.81622,0.72329,0.80771,0.62192,0.93242,1.00648,0.00764,0.000450046,0.000450046,0.000450046
53,4072.6,0.93564,0.6453,0.00621,0.85014,0.70188,0.79464,0.61203,0.93616,0.98158,0.00765,0.000441047,0.000441047,0.000441047
54,4192.82,0.91219,0.63673,0.00607,0.82375,0.69976,0.78036,0.60438,0.98011,0.94359,0.00848,0.000432048,0.000432048,0.000432048
55,4298.31,0.91464,0.65371,0.00614,0.81663,0.74182,0.79655,0.60934,0.95434,0.96403,0.00811,0.000423049,0.000423049,0.000423049
56,4383.85,0.9104,0.61857,0.00583,0.85345,0.7311,0.81608,0.61961,0.94355,0.97403,0.00788,0.000414049,0.000414049,0.000414049
57,4472.04,0.90941,0.61547,0.00576,0.82363,0.74227,0.80114,0.61731,0.9315,0.98164,0.00797,0.00040505,0.00040505,0.00040505
58,4582.7,0.88989,0.61907,0.0059,0.80724,0.74531,0.81834,0.62965,0.97275,0.89798,0.00852,0.000396051,0.000396051,0.000396051
59,4667.74,0.89049,0.61336,0.00579,0.83937,0.72923,0.80667,0.61641,0.93653,0.95514,0.00796,0.000387052,0.000387052,0.000387052
60,4755.14,0.89279,0.59789,0.00574,0.83159,0.75023,0.8254,0.63646,0.93949,0.92864,0.00791,0.000378053,0.000378053,0.000378053
61,4840.48,0.87122,0.57688,0.00568,0.83297,0.71789,0.81684,0.63865,0.92779,0.93749,0.00776,0.000369054,0.000369054,0.000369054
62,4924.36,0.87,0.5895,0.00563,0.83231,0.76189,0.82268,0.63942,0.89851,0.92435,0.00731,0.000360055,0.000360055,0.000360055
63,4972.7,0.8658,0.58878,0.00584,0.84604,0.72774,0.82343,0.63544,0.89227,0.92055,0.0071,0.000351056,0.000351056,0.000351056
64,5039.69,0.86537,0.57803,0.00548,0.83165,0.71906,0.81515,0.62659,0.90802,0.90737,0.00721,0.000342057,0.000342057,0.000342057
65,5116.71,0.86453,0.56753,0.00561,0.83473,0.75324,0.82063,0.64022,0.92969,0.95321,0.00767,0.000333058,0.000333058,0.000333058
66,5224.37,0.8441,0.5394,0.00527,0.87628,0.7184,0.81766,0.63239,0.92315,0.97755,0.00752,0.000324058,0.000324058,0.000324058
67,5317.63,0.85978,0.56234,0.00539,0.84437,0.72334,0.80457,0.6235,0.95929,0.95265,0.00817,0.000315059,0.000315059,0.000315059
68,5411.83,0.83092,0.50991,0.00538,0.8414,0.73614,0.82417,0.64353,0.95023,0.91088,0.00803,0.00030606,0.00030606,0.00030606
69,5452.55,0.83434,0.51704,0.00526,0.85769,0.74624,0.82877,0.64995,0.93825,0.93739,0.00802,0.000297061,0.000297061,0.000297061
70,5529.31,0.82056,0.52894,0.00542,0.87033,0.70534,0.80594,0.63154,0.9219,1.01799,0.00786,0.000288062,0.000288062,0.000288062
71,5624.82,0.83053,0.5295,0.00533,0.85353,0.72583,0.82699,0.65015,0.92106,0.95841,0.00772,0.000279063,0.000279063,0.000279063
72,5713.93,0.80873,0.51281,0.00497,0.79855,0.7799,0.82317,0.65117,0.90439,0.92498,0.00743,0.000270064,0.000270064,0.000270064
73,5790.54,0.82977,0.52773,0.00503,0.83495,0.74379,0.81741,0.64448,0.9053,0.96727,0.00731,0.000261065,0.000261065,0.000261065
74,5851.19,0.80262,0.49408,0.00505,0.8554,0.74527,0.8277,0.64736,0.92639,0.94298,0.00804,0.000252066,0.000252066,0.000252066
75,5949.74,0.79508,0.49238,0.0051,0.78775,0.79202,0.83318,0.65076,0.90444,0.91717,0.0075,0.000243067,0.000243067,0.000243067
76,6047.65,0.78336,0.49344,0.00503,0.82805,0.75377,0.82515,0.64587,0.88913,0.90786,0.0071,0.000234068,0.000234068,0.000234068
77,6151.79,0.78184,0.4797,0.00487,0.88174,0.73664,0.83316,0.65929,0.89761,0.94155,0.00741,0.000225068,0.000225068,0.000225068
78,6227.73,0.77894,0.47751,0.00488,0.8261,0.76729,0.82738,0.64847,0.9254,0.96856,0.00762,0.000216069,0.000216069,0.000216069
79,6348.43,0.77339,0.47163,0.00507,0.86604,0.73501,0.82601,0.65231,0.90069,1.0002,0.00722,0.00020707,0.00020707,0.00020707
80,6430.5,0.77016,0.46622,0.00481,0.85303,0.72963,0.81452,0.65005,0.89503,1.05878,0.00736,0.000198071,0.000198071,0.000198071
81,6557.76,0.77455,0.47569,0.00462,0.82671,0.75687,0.82267,0.65331,0.88804,0.99805,0.00726,0.000189072,0.000189072,0.000189072
82,6643.58,0.74602,0.45648,0.00463,0.85887,0.73633,0.81345,0.64998,0.87231,0.9866,0.00688,0.000180073,0.000180073,0.000180073
83,6721.53,0.76014,0.46795,0.0048,0.8444,0.74872,0.81168,0.64583,0.8848,1.01695,0.00737,0.000171074,0.000171074,0.000171074
84,6806.93,0.74364,0.46311,0.00471,0.82738,0.77369,0.81946,0.6492,0.91218,0.99503,0.00744,0.000162075,0.000162075,0.000162075
85,6882.55,0.74716,0.4559,0.00461,0.85746,0.76013,0.82346,0.65205,0.90376,1.00815,0.00722,0.000153076,0.000153076,0.000153076
86,6973.11,0.76003,0.44745,0.00474,0.85315,0.73899,0.81929,0.6455,0.88604,1.02705,0.00723,0.000144077,0.000144077,0.000144077
87,7074.55,0.73492,0.43844,0.00462,0.87903,0.72493,0.81777,0.64632,0.88536,0.99562,0.0073,0.000135077,0.000135077,0.000135077
88,7144.01,0.73319,0.4394,0.00449,0.80689,0.77846,0.82744,0.65752,0.89663,0.98882,0.0072,0.000126078,0.000126078,0.000126078
89,7218.38,0.75285,0.45517,0.0047,0.83741,0.74046,0.83222,0.66235,0.88948,0.98633,0.00723,0.000117079,0.000117079,0.000117079
90,7297.61,0.73257,0.45707,0.00457,0.82703,0.75528,0.818,0.6496,0.87726,0.99346,0.00703,0.00010808,0.00010808,0.00010808
91,7422.69,0.66685,0.33569,0.0045,0.83082,0.74076,0.81416,0.64828,0.87936,1.02514,0.00711,9.9081e-05,9.9081e-05,9.9081e-05
92,7522.28,0.67296,0.33567,0.00478,0.86683,0.71914,0.81569,0.65334,0.88066,0.99446,0.00705,9.00819e-05,9.00819e-05,9.00819e-05
93,7634.68,0.65602,0.32831,0.00425,0.86491,0.72156,0.81619,0.65512,0.86519,1.01976,0.00683,8.10828e-05,8.10828e-05,8.10828e-05
94,7710.79,0.64755,0.32237,0.00419,0.8627,0.72097,0.81756,0.65436,0.87193,1.01127,0.00666,7.20837e-05,7.20837e-05,7.20837e-05
95,7819.23,0.65852,0.33376,0.00437,0.86654,0.71429,0.81552,0.65511,0.87064,0.9897,0.00673,6.30846e-05,6.30846e-05,6.30846e-05
96,7917.83,0.66482,0.34435,0.00475,0.88297,0.72038,0.81788,0.6566,0.86984,0.97831,0.00684,5.40855e-05,5.40855e-05,5.40855e-05
97,7996.93,0.64027,0.32059,0.00441,0.87044,0.7313,0.8196,0.65799,0.86853,0.96309,0.00662,4.50864e-05,4.50864e-05,4.50864e-05
98,8081.91,0.64031,0.31624,0.00425,0.86013,0.73884,0.82063,0.65398,0.87332,0.95416,0.00674,3.60873e-05,3.60873e-05,3.60873e-05
99,8157.32,0.63898,0.31923,0.00425,0.85007,0.74621,0.81911,0.6555,0.86941,0.97021,0.00661,2.70882e-05,2.70882e-05,2.70882e-05
100,8227.02,0.64217,0.31754,0.00435,0.86804,0.72571,0.81686,0.65554,0.86905,0.96915,0.00664,1.80891e-05,1.80891e-05,1.80891e-05
